"","y1","y2","y3","conc","ABS","smp","Tests"
"123","0.9162875","0.8370740","0.8748914",NA,"1.071","KI F","Aug04"
"124","0.9931756","0.9073150","0.9483058",NA,"1.131","KI R","Aug04"
"125","0.9608735","0.8778055","0.9174631",NA,"1.049","CP F","Aug04"
"126","0.8535032","0.7797174","0.8149435",NA,"0.967","CP R","Aug04"
"127","0.9490446","0.8669992","0.9061685",NA,"1.075","MH F","Aug04"
"128","1.0009099","0.9143807","0.9556907",NA,"1.046","MH R","Aug04"
"129","1.0127389","0.9251870","0.9669852",NA,"1.153","Ver R","Aug04"
"130","1.0022748","0.9156276","0.9569939",NA,"1.108","Ver F","Aug04"
"131","1.0336670","0.9443059","0.9869679",NA,"1.119","2330411","Aug04"
"132","0.9490446","0.8669992","0.9061685",NA,"1.011","MH F","Aug04"
"133","1.0009099","0.9143807","0.9556907",NA,"1.154","MH R","Aug04"
"134","1.0127389","0.9251870","0.9669852",NA,"1.073","Ver R","Aug04"
"135","1.0022748","0.9156276","0.9569939",NA,"1.095","Ver F","Aug04"
"136","1.0336670","0.9443059","0.9869679",NA,"1.153","2330411","Aug04"
"137","0.2352941","0.2169059","0.2257261","5.00","0.406","Standard 5","Aug11"
"138","0.3682238","0.3394471","0.3532503","2.00","0.696","Standard 4","Aug11"
"139","0.4818339","0.4441786","0.4622407","1.00","0.865","Standard 3","Aug11"
"140","0.6138985","0.5659224","0.5889350","0.40","1.069","Standard 2","Aug11"
"141","0.8866782","0.8173844","0.8506224","0.15","1.460","Standard 1","Aug11"
"142","1.0423875","0.9609250","1.0000000","0.00","1.734","Standard 0","Aug11"
"143","0.5000000","0.4609250","0.4796680",NA,"0.912","Positive Control","Aug11"
"144","1.0314302","0.9508240","0.9894882",NA,"1.800","PIB F","Aug11"
"145","0.2352941","0.2169059","0.2257261","5.00","0.410","Standard 5","Aug11"
"146","0.3682238","0.3394471","0.3532503","2.00","0.581","Standard 4","Aug11"
"147","0.4818339","0.4441786","0.4622407","1.00","0.806","Standard 3","Aug11"
"148","0.6138985","0.5659224","0.5889350","0.40","1.060","Standard 2","Aug11"
"149","0.8866782","0.8173844","0.8506224","0.15","1.615","Standard 1","Aug11"
"150","1.0423875","0.9609250","1.0000000","0.00","1.881","Standard 0","Aug11"
"151","0.5000000","0.4609250","0.4796680",NA,"0.822","Positive Control","Aug11"
"152","1.0314302","0.9508240","0.9894882",NA,"1.777","PIB F","Aug11"
"153","0.5544983","0.5111643","0.5319502",NA,"1.029","PIB R","Aug11"
"154","0.9772203","0.9008506","0.9374827",NA,"1.750","LEU F","Aug11"
"155","0.8281430","0.7634237","0.7944675",NA,"1.292","LEU R","Aug11"
"156","1.0175894","0.9380649","0.9762102",NA,"1.759","KI F","Aug11"
"157","0.8742791","0.8059543","0.8387275",NA,"1.458","KI R","Aug11"
"158","0.9682814","0.8926103","0.9289073",NA,"1.663","CP F","Aug11"
"159","0.5467128","0.5039872","0.5244813",NA,"0.926","CP R","Aug11"
"160","0.9132065","0.8418394","0.8760719",NA,"1.528","MH F","Aug11"
"161","0.5544983","0.5111643","0.5319502",NA,"0.894","PIB R","Aug11"
